,R. salebrosus,descriptions
PF00173,19,Cytochrome b5-like Heme/Steroid binding domain
PF00125,19,Core histone H2A/H2B/H3/H4
PF00098,18,Zinc knuckle
PF04191,18,Phospholipid methyltransferase
PF00168,18,C2 domain
PF17667,18,Fungal protein kinase
PF13245,18,AAA domain
PF07731,18,Multicopper oxidase
PF13923,18,"Zinc finger, C3HC4 type (RING finger)"
PF08242,18,Methyltransferase domain
PF07728,18,AAA domain (dynein-related subfamily)
PF13181,18,Tetratricopeptide repeat
PF13432,18,Tetratricopeptide repeat
PF00664,17,ABC transporter transmembrane region
PF04140,17,Isoprenylcysteine carboxyl methyltransferase (ICMT) family
PF13637,17,Ankyrin repeats (many copies)
PF01565,17,FAD binding domain
PF01040,17,UbiA prenyltransferase family
PF01636,17,Phosphotransferase enzyme family
PF00561,17,alpha/beta hydrolase fold
PF07653,17,Variant SH3 domain
PF00443,16,Ubiquitin carboxyl-terminal hydrolase
PF00505,16,HMG (high mobility group) box
PF01544,16,CorA-like Mg2+ transporter protein
PF00293,16,NUDIX domain
PF13445,16,RING-type zinc-finger
PF20415,16,Family of unknown function (DUF6699)
PF14604,16,Variant SH3 domain
PF00155,16,Aminotransferase class I and II
PF00122,15,E1-E2 ATPase
PF13604,15,AAA domain
PF00171,15,Aldehyde dehydrogenase family
PF07732,15,Multicopper oxidase
PF13738,15,Pyridine nucleotide-disulphide oxidoreductase
PF01425,15,Amidase
PF00787,15,PX domain
PF00621,15,RhoGEF domain
PF05699,14,hAT family C-terminal dimerisation region
PF00498,14,FHA domain
PF00043,14,"Glutathione S-transferase, C-terminal domain"
PF13606,14,Ankyrin repeat
PF13602,14,Zinc-binding dehydrogenase
PF03169,14,OPT oligopeptide transporter protein
PF07993,14,Male sterility protein
PF12348,14,CLASP N terminal
PF19086,14,"Terpene synthase family 2, C-terminal metal binding"
PF00326,14,Prolyl oligopeptidase family
PF13920,14,"Zinc finger, C3HC4 type (RING finger)"
PF04408,14,Helicase associated domain (HA2)
PF00656,14,Caspase domain
PF01485,14,"IBR domain, a half RING-finger domain"
PF00227,14,Proteasome subunit
PF00009,14,Elongation factor Tu GTP binding domain
PF00046,14,Homeodomain
PF00328,14,Histidine phosphatase superfamily (branch 2)
PF07687,14,Peptidase dimerisation domain
PF13855,14,Leucine rich repeat
PF14027,13,Questin oxidase-like
PF01399,13,PCI domain
PF17862,13,AAA+ lid domain
PF00856,13,SET domain
PF20147,13,Crinkler effector protein N-terminal domain
PF20414,13,Family of unknown function (DUF6698)
PF13193,13,AMP-binding enzyme C-terminal domain
PF01266,13,FAD dependent oxidoreductase
PF02518,13,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
PF00642,13,Zinc finger C-x8-C-x5-C-x3-H type (and similar)
PF07859,13,alpha/beta hydrolase fold
PF00566,13,Rab-GTPase-TBC domain
PF00070,13,Pyridine nucleotide-disulphide oxidoreductase
PF00808,13,Histone-like transcription factor (CBF/NF-Y) and archaeal histone
PF13302,13,Acetyltransferase (GNAT) domain
PF01546,13,Peptidase family M20/M25/M40
PF00240,12,Ubiquitin family
PF01794,12,Ferric reductase like transmembrane component
PF00503,12,G-protein alpha subunit
PF01979,12,Amidohydrolase family
PF00035,12,Double-stranded RNA binding motif
PF00724,12,NADH:flavin oxidoreductase / NADH oxidase family
PF00353,12,RTX calcium-binding nonapeptide repeat (4 copies)
PF00300,12,Histidine phosphatase superfamily (branch 1)
PF00892,12,EamA-like transporter family
PF00010,11,Helix-loop-helix DNA-binding domain
PF02798,11,"Glutathione S-transferase, N-terminal domain"
PF13857,11,Ankyrin repeats (many copies)
PF02133,11,"Permease for cytosine/purines, uracil, thiamine, allantoin"
PF12146,11,"Serine aminopeptidase, S33"
PF10294,11,Lysine methyltransferase
PF00134,11,"Cyclin, N-terminal domain"
PF00620,11,RhoGAP domain
PF12874,11,Zinc-finger of C2H2 type
PF00557,11,Metallopeptidase family M24
PF00481,11,Protein phosphatase 2C
PF00160,11,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF00085,11,Thioredoxin
PF20434,11,BD-FAE
PF09286,11,"Pro-kumamolisin, activation domain"
PF01936,11,NYN domain
PF08030,10,Ferric reductase NAD binding domain
PF00169,10,PH domain
PF00249,10,Myb-like DNA-binding domain
PF05199,10,GMC oxidoreductase
PF09994,10,Uncharacterized alpha/beta hydrolase domain (DUF2235)
PF01602,10,Adaptin N terminal region
PF13401,10,AAA domain
PF09011,10,HMG-box domain
PF00782,10,"Dual specificity phosphatase, catalytic domain"
PF00320,10,GATA zinc finger
PF13632,10,Glycosyl transferase family group 2
PF13191,10,AAA ATPase domain
PF00891,10,O-methyltransferase domain
PF00704,10,Glycosyl hydrolases family 18
PF00022,10,Actin
PF00225,10,Kinesin motor domain
PF00650,10,CRAL/TRIO domain
PF00144,10,Beta-lactamase
PF01593,9,Flavin containing amine oxidoreductase
PF01699,9,Sodium/calcium exchanger protein
PF14497,9,"Glutathione S-transferase, C-terminal domain"
PF13418,9,"Galactose oxidase, central domain"
PF00533,9,BRCA1 C Terminus (BRCT) domain
PF07717,9,Oligonucleotide/oligosaccharide-binding (OB)-fold
PF05739,9,SNARE domain
PF00117,9,Glutamine amidotransferase class-I
PF13499,9,EF-hand domain pair
PF00628,9,PHD-finger
PF13460,9,NAD(P)H-binding
PF16796,9,Microtubule binding
PF00118,9,TCP-1/cpn60 chaperonin family
PF00450,9,Serine carboxypeptidase
PF09439,9,Signal recognition particle receptor beta subunit
PF00350,9,Dynamin family
PF07989,9,Centrosomin N-terminal motif 1
PF00250,8,Forkhead domain
PF08022,8,FAD-binding domain
PF13921,8,Myb-like DNA-binding domain
PF00689,8,"Cation transporting ATPase, C-terminus"
PF13246,8,Cation transport ATPase (P-type)
PF00732,8,GMC oxidoreductase
PF13532,8,2OG-Fe(II) oxygenase superfamily
PF00012,8,Hsp70 protein
PF01529,8,DHHC palmitoyltransferase
PF02985,8,HEAT repeat
PF13646,8,HEAT repeats
PF00581,8,Rhodanese-like domain
PF03446,8,NAD binding domain of 6-phosphogluconate dehydrogenase
PF11969,8,Scavenger mRNA decapping enzyme C-term binding
PF00108,8,"Thiolase, N-terminal domain"
PF04670,8,Gtr1/RagA G protein conserved region
PF08031,8,Berberine and berberine like
PF00266,8,Aminotransferase class-V
PF13202,8,EF hand
PF13405,8,EF-hand domain
PF00006,8,"ATP synthase alpha/beta family, nucleotide-binding domain"
PF13673,8,Acetyltransferase (GNAT) domain
PF01185,8,Fungal hydrophobin
PF00888,8,Cullin family
PF01585,8,G-patch domain
PF03144,8,Elongation factor Tu domain 2
PF01535,8,PPR repeat
PF01408,8,"Oxidoreductase family, NAD-binding Rossmann fold"
PF01490,8,Transmembrane amino acid transporter protein
PF12799,8,Leucine Rich repeats (2 copies)
PF00850,8,Histone deacetylase domain
PF01556,8,DnaJ C terminal domain
PF03732,8,Retrotransposon gag protein
PF00454,8,Phosphatidylinositol 3- and 4-kinase
PF03959,8,Serine hydrolase (FSH1)
PF00011,8,Hsp20/alpha crystallin family
PF00780,8,CNH domain
PF08590,8,Domain of unknown function (DUF1771)
PF11976,7,Ubiquitin-2 like Rad60 SUMO-like
PF05347,7,Complex 1 protein (LYR family)
PF13410,7,"Glutathione S-transferase, C-terminal domain"
PF11901,7,Protein of unknown function (DUF3421)
PF01344,7,Kelch motif
PF13415,7,"Galactose oxidase, central domain"
PF03810,7,Importin-beta N-terminal domain
PF18759,7,Plavaka transposase
PF01230,7,HIT domain
PF13423,7,Ubiquitin carboxyl-terminal hydrolase
PF13419,7,Haloacid dehalogenase-like hydrolase
PF00175,7,Oxidoreductase NAD-binding domain
PF02803,7,"Thiolase, C-terminal domain"
PF02913,7,"FAD linked oxidases, C-terminal domain"
PF02874,7,"ATP synthase alpha/beta family, beta-barrel domain"
PF00364,7,Biotin-requiring enzyme
PF13641,7,Glycosyltransferase like family 2
PF00092,7,von Willebrand factor type A domain
PF00806,7,Pumilio-family RNA binding repeat
PF05183,7,RNA dependent RNA polymerase
PF12171,7,Zinc-finger double-stranded RNA-binding
PF00571,7,CBS domain
PF03372,7,Endonuclease/Exonuclease/phosphatase family
PF03807,7,NADP oxidoreductase coenzyme F420-dependent
PF03031,7,NLI interacting factor-like phosphatase
PF14608,7,"RNA-binding, Nab2-type zinc finger"
PF14622,7,Ribonuclease-III-like
PF03357,7,Snf7
PF00441,7,"Acyl-CoA dehydrogenase, C-terminal domain"
PF02770,7,"Acyl-CoA dehydrogenase, middle domain"
PF02771,7,"Acyl-CoA dehydrogenase, N-terminal domain"
PF00156,7,Phosphoribosyl transferase domain
PF07724,7,AAA domain (Cdc48 subfamily)
PF01738,7,Dienelactone hydrolase family
PF01545,7,Cation efflux family
PF01398,7,JAB1/Mov34/MPN/PAD-1 ubiquitin protease
PF00385,7,Chromo (CHRromatin Organisation MOdifier) domain
PF01217,7,Clathrin adaptor complex small chain
PF13414,7,TPR repeat
PF08700,7,Vps51/Vps67
PF16363,7,"GDP-mannose 4,6 dehydratase"
PF02786,7,"Carbamoyl-phosphate synthase L chain, ATP binding domain"
PF10584,7,Proteasome subunit A N-terminal signature
PF12449,7,Protein of unknown function (DUF3684)
PF13589,7,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
PF13640,7,2OG-Fe(II) oxygenase superfamily
PF00378,7,Enoyl-CoA hydratase/isomerase
PF13671,7,AAA domain
PF02373,7,"JmjC domain, hydroxylase"
PF04389,7,Peptidase family M28
PF13540,7,Regulator of chromosome condensation (RCC1) repeat
PF00072,7,Response regulator receiver domain
PF00730,7,HhH-GPD superfamily base excision DNA repair protein
PF01031,7,Dynamin central region
PF13391,7,HNH endonuclease
PF00082,7,Subtilase family
PF01053,7,Cys/Met metabolism PLP-dependent enzyme
PF02582,7,"RMND1/Sif2-Sif3/Mrx10, DUF155"
PF01713,7,Smr domain
PF00690,6,"Cation transporter/ATPase, N-terminus"
PF07883,6,Cupin domain
PF00999,6,Sodium/hydrogen exchanger family
PF00383,6,Cytidine and deoxycytidylate deaminase zinc-binding region
PF01764,6,Lipase (class 3)
PF12717,6,non-SMC mitotic condensation complex subunit 1
PF00412,6,LIM domain
PF01467,6,Cytidylyltransferase-like
PF00657,6,GDSL-like Lipase/Acylhydrolase
PF06723,6,MreB/Mbl protein
PF03129,6,Anticodon binding domain
PF01656,6,CobQ/CobB/MinD/ParA nucleotide binding domain
PF10609,6,NUBPL iron-transfer P-loop NTPase
PF00899,6,ThiF family
PF01476,6,LysM domain
PF02714,6,"Calcium-dependent channel, 7TM region, putative phosphate"
PF04130,6,Gamma tubulin complex component C-terminal
PF00036,6,EF hand
PF13833,6,EF-hand domain pair
PF13508,6,Acetyltransferase (GNAT) domain
PF14200,6,Ricin-type beta-trefoil lectin domain-like
PF13959,6,Domain of unknown function (DUF4217)
PF14634,6,zinc-RING finger domain
PF01209,6,ubiE/COQ5 methyltransferase family
PF07249,6,Cerato-platanin
PF12776,6,Myb/SANT-like DNA-binding domain
PF08613,6,Cyclin
PF05192,6,MutS domain III
PF08238,6,Sel1 repeat
PF07719,6,Tetratricopeptide repeat
PF00170,6,bZIP transcription factor
PF10607,6,CTLH/CRA C-terminal to LisH motif domain
PF13242,6,HAD-hyrolase-like
PF00013,6,KH domain
PF02463,6,RecF/RecN/SMC N terminal domain
PF02969,6,TATA box binding protein associated factor (TAF)
PF02826,6,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain"
PF16589,6,"BRCT domain, a BRCA1 C-terminus domain"
PF01042,6,Endoribonuclease L-PSP
PF01068,6,ATP dependent DNA ligase domain
PF05653,6,Magnesium transporter NIPA
PF00152,6,"tRNA synthetases class II (D, K and N)"
PF01336,6,OB-fold nucleic acid binding domain
PF01553,6,Acyltransferase
PF00493,6,MCM P-loop domain
PF14551,6,MCM N-terminal domain
PF17207,6,MCM OB domain
PF03901,6,Alg9-like mannosyltransferase family
PF03151,6,Triose-phosphate Transporter family
PF05920,6,Homeobox KN domain
PF01073,6,3-beta hydroxysteroid dehydrogenase/isomerase family
PF01532,6,Glycosyl hydrolase family 47
PF13894,6,C2H2-type zinc finger
PF03061,6,Thioesterase superfamily
PF11700,6,Vacuole effluxer Atg22 like
PF00180,6,Isocitrate/isopropylmalate dehydrogenase
PF03953,6,Tubulin C-terminal domain
PF10176,6,Protein of unknown function (DUF2370)
PF13638,6,PIN domain
PF14543,6,Xylanase inhibitor N-terminal
PF12585,6,Protein of unknown function (DUF3759)
PF01522,6,Polysaccharide deacetylase
PF00307,6,Calponin homology (CH) domain
PF00447,6,HSF-type DNA-binding
PF13519,6,von Willebrand factor type A domain
PF14559,6,Tetratricopeptide repeat
PF13813,6,Membrane bound O-acyl transferase family
PF20149,6,Domain of unknown function (DUF6532)
PF17886,6,HSP20-like domain found in ArsA
PF00120,6,"Glutamine synthetase, catalytic domain"
PF00291,6,Pyridoxal-phosphate dependent enzyme
PF06027,6,Solute carrier family 35
PF00579,6,tRNA synthetases class I (W and Y)
PF07976,6,"Phenol hydroxylase, C-terminal dimerisation domain"
PF06912,5,Protein of unknown function (DUF1275)
PF00241,5,Cofilin/tropomyosin-type actin-binding protein
PF12359,5,Protein of unknown function (DUF3645)
PF03935,5,Beta-glucan synthesis-associated protein SKN1/KRE6/Sbg1
PF00667,5,FAD binding domain
PF00933,5,Glycosyl hydrolase family 3 N terminal domain
PF00617,5,RasGEF domain
PF00618,5,RasGEF N-terminal motif
PF00675,5,Insulinase (Peptidase family M16)
PF00202,5,Aminotransferase class-III
PF01569,5,PAP2 superfamily
PF06687,5,SUR7/PalI family
PF00474,5,Sodium:solute symporter family
PF13854,5,Kelch motif
PF01237,5,Oxysterol-binding protein
PF00867,5,XPG I-region
PF13513,5,HEAT-like repeat
PF00627,5,UBA/TS-N domain
PF02148,5,Zn-finger in ubiquitin-hydrolases and other protein
PF13967,5,"Late exocytosis, associated with Golgi transport"
PF14703,5,Cytosolic domain of 10TM putative phosphate transporter
PF00063,5,Myosin head (motor domain)
PF01479,5,S4 domain
PF03104,5,"DNA polymerase family B, exonuclease domain"
PF08534,5,Redoxin
PF14441,5,OTT_1508-like deaminase
PF07647,5,SAM domain (Sterile alpha motif)
PF13516,5,Leucine Rich repeat
PF05773,5,RWD domain
PF10557,5,Cullin protein neddylation domain
PF00962,5,Adenosine deaminase
PF00749,5,"tRNA synthetases class I (E and Q), catalytic domain"
PF01096,5,Transcription factor S-II (TFIIS)
PF00488,5,MutS domain V
PF05188,5,MutS domain II
PF01363,5,FYVE zinc finger
PF00145,5,C-5 cytosine-specific DNA methylase
PF00515,5,Tetratricopeptide repeat
PF13692,5,Glycosyl transferases group 1
PF05368,5,NmrA-like family
PF04969,5,CS domain
PF03114,5,BAR domain
PF03435,5,Saccharopine dehydrogenase NADP binding domain
PF00288,5,GHMP kinases N terminal domain
PF00564,5,PB1 domain
PF00575,5,S1 RNA binding domain
PF02671,5,Paired amphipathic helix repeat
PF08295,5,Sin3 family co-repressor
PF00995,5,Sec1 family
PF10367,5,Vacuolar sorting protein 39 domain 2
PF13812,5,Pentatricopeptide repeat domain
PF16124,5,RecQ zinc-binding
PF00389,5,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain"
PF08423,5,Rad51
PF13522,5,Glutamine amidotransferase domain
PF04675,5,DNA ligase N terminus
PF00550,5,Phosphopantetheine attachment site
PF01070,5,FMN-dependent dehydrogenase
PF01369,5,Sec7 domain
PF13537,5,Glutamine amidotransferase domain
PF13893,5,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
PF17855,5,MCM AAA-lid domain
PF00355,5,Rieske [2Fe-2S] domain
PF07716,5,Basic region leucine zipper
PF00684,5,DnaJ central domain
PF02668,5,"Taurine catabolism dioxygenase TauD, TfdA family"
PF13098,5,Thioredoxin-like domain
PF07173,5,Glycine-rich domain-containing protein-like
PF00752,5,XPG N-terminal domain
PF02146,5,Sir2 family
PF08325,5,WLM domain
PF00348,5,Polyprenyl synthetase
PF04321,5,RmlD substrate binding domain
PF00289,5,"Biotin carboxylase, N-terminal domain"
PF02222,5,ATP-grasp domain
PF07478,5,D-ala D-ala ligase C-terminus
PF01302,5,CAP-Gly domain
PF03142,5,Chitin synthase
PF01248,5,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family
PF06371,5,Diaphanous GTPase-binding Domain
PF00636,5,Ribonuclease III domain
PF02230,5,Phospholipase/Carboxylesterase
PF00415,5,Regulator of chromosome condensation (RCC1) repeat
PF00091,5,"Tubulin/FtsZ family, GTPase domain"
PF00929,5,Exonuclease
PF02779,5,"Transketolase, pyrimidine binding domain"
PF00403,5,Heavy-metal-associated domain
PF04427,5,Brix domain
PF01008,5,Initiation factor 2 subunit family
PF00928,5,Adaptor complexes medium subunit family
PF03070,5,TENA/THI-4/PQQC family
PF06813,5,Nodulin-like
PF04677,5,Protein similar to CwfJ C-terminus 1
PF00130,5,Phorbol esters/diacylglycerol binding domain (C1 domain)
PF13307,5,Helicase C-terminal domain
PF00676,5,Dehydrogenase E1 component
PF08264,5,Anticodon-binding domain of tRNA ligase
PF12678,5,RING-H2 zinc finger domain
PF00432,5,Prenyltransferase and squalene oxidase repeat
PF00632,5,HECT-domain (ubiquitin-transferase)
PF04193,5,PQ loop repeat
PF16450,5,Proteasomal ATPase OB C-terminal domain
PF02212,5,Dynamin GTPase effector domain
PF05978,5,Ion channel regulatory protein UNC-93
PF18142,5,SMODS and SLOG-associating 2TM effector domain
PF02171,5,Piwi domain
PF08699,5,Argonaute linker 1 domain
PF16486,5,N-terminal domain of argonaute
PF00285,5,"Citrate synthase, C-terminal domain"
PF01591,5,6-phosphofructo-2-kinase
PF01061,5,ABC-2 type transporter
PF13912,5,C2H2-type zinc finger
PF01435,5,Peptidase family M48
PF02854,5,MIF4G domain
PF06839,5,GRF zinc finger
PF13650,4,Aspartyl protease
PF04479,4,RTA1 like protein
PF00786,4,P21-Rho-binding domain
PF12340,4,Protein of unknown function (DUF3638)
PF00137,4,ATP synthase subunit C
PF02152,4,Dihydroneopterin aldolase
PF00206,4,Lyase
PF01915,4,Glycosyl hydrolase family 3 C-terminal domain
PF14310,4,Fibronectin type III-like domain
PF05175,4,Methyltransferase small domain
PF02666,4,Phosphatidylserine decarboxylase
PF13964,4,Kelch motif
PF01937,4,Damage-control phosphatase ARMT1-like domain
PF00644,4,Poly(ADP-ribose) polymerase catalytic domain
PF13086,4,AAA domain
PF00790,4,VHS domain
PF02845,4,CUE domain
PF02383,4,SacI homology domain
PF08550,4,Fungal protein of unknown function (DUF1752)
PF01433,4,Peptidase family M1 domain
PF12738,4,twin BRCT domain
PF02469,4,Fasciclin domain
PF09118,4,"Galactose oxidase-like, Early set domain"
PF00789,4,UBX domain
PF02353,4,Mycolic acid cyclopropane synthetase
PF03105,4,SPX domain
PF00957,4,Synaptobrevin
PF01488,4,Shikimate / quinate 5-dehydrogenase
PF14022,4,Protein of unknown function (DUF4238)
PF00487,4,Fatty acid desaturase
PF00578,4,AhpC/TSA family
PF17123,4,RING-like zinc finger
PF00536,4,SAM domain (Sterile alpha motif)
PF11735,4,Cryptococcal mannosyltransferase 1
PF00128,4,"Alpha amylase, catalytic domain"
PF01161,4,Phosphatidylethanolamine-binding protein
PF03134,4,"TB2/DP1, HVA22 family"
PF01853,4,MOZ/SAS family
PF11717,4,RNA binding activity-knot of a chromodomain
PF13174,4,Tetratricopeptide repeat
PF00622,4,SPRY domain
PF01163,4,RIO1 family
PF12775,4,P-loop containing dynein motor region
PF01480,4,PWI domain
PF02953,4,Tim10/DDP family zinc finger
PF06470,4,SMC proteins Flexible Hinge Domain
PF13476,4,AAA domain
PF00569,4,"Zinc finger, ZZ type"
PF16879,4,C-terminal domain of Sin3a protein
PF08513,4,LisH
PF00491,4,Arginase family
PF00679,4,Elongation factor G C-terminus
PF14492,4,"Elongation Factor G, domain III"
PF01920,4,Prefoldin subunit
PF00795,4,Carbon-nitrogen hydrolase
PF01694,4,Rhomboid family
PF08028,4,"Acyl-CoA dehydrogenase, C-terminal domain"
PF02182,4,SAD/SRA domain
PF03143,4,Elongation factor Tu C-terminal domain
PF08445,4,FR47-like protein
PF13041,4,PPR repeat family
PF20411,4,Domain of unknown function (DUF6697)
PF04055,4,Radical SAM superfamily
PF10075,4,CSN8/PSMD8/EIF3K family
PF00970,4,Oxidoreductase FAD-binding domain
PF01624,4,MutS domain I
PF13012,4,Maintenance of mitochondrial structure and function
PF02466,4,Tim17/Tim22/Tim23/Pmp24 family
PF00445,4,Ribonuclease T2 family
PF00462,4,Glutaredoxin
PF00753,4,Metallo-beta-lactamase superfamily
PF01644,4,Chitin synthase
PF08407,4,Chitin synthase N-terminal
PF00587,4,"tRNA synthetase class II core domain (G, H, P, S and T)"
PF00641,4,Zn-finger in Ran binding protein and others
PF01693,4,Caulimovirus viroplasmin
PF01426,4,BAH domain
PF01207,4,Dihydrouridine synthase (Dus)
PF02785,4,Biotin carboxylase C-terminal domain
PF00135,4,Carboxylesterase family
PF16113,4,Enoyl-CoA hydratase/isomerase
PF01066,4,CDP-alcohol phosphatidyltransferase
PF04053,4,Coatomer WD associated region
PF12902,4,Ferritin-like
PF17990,4,L-Lysine epsilon oxidase N-terminal
PF18417,4,L-lysine epsilon oxidase C-terminal domain
PF03321,4,GH3 auxin-responsive promoter
PF07676,4,WD40-like Beta Propeller Repeat
PF03109,4,ABC1 atypical kinase-like domain
PF01557,4,Fumarylacetoacetate (FAA) hydrolase family
PF13634,4,Nucleoporin FG repeat region
PF01119,4,"DNA mismatch repair protein, C-terminal domain"
PF02656,4,Domain of unknown function (DUF202)
PF08284,4,Retroviral aspartyl protease
PF04488,4,Glycosyltransferase sugar-binding region containing DXD motif
PF02780,4,"Transketolase, C-terminal domain"
PF09335,4,SNARE associated Golgi protein
PF03029,4,Conserved hypothetical ATP binding protein
PF03368,4,Dicer dimerisation domain
PF02894,4,"Oxidoreductase family, C-terminal alpha/beta domain"
PF01866,4,Putative diphthamide synthesis protein
PF01105,4,emp24/gp25L/p24 family/GOLD
PF07876,4,Stress responsive A/B Barrel Domain
PF01417,4,ENTH domain
PF01193,4,RNA polymerase Rpb3/Rpb11 dimerisation domain
PF02366,4,Dolichyl-phosphate-mannose-protein mannosyltransferase
PF16192,4,C-terminal four TMM region of protein-O-mannosyltransferase
PF00478,4,IMP dehydrogenase / GMP reductase domain
PF00755,4,Choline/Carnitine o-acyltransferase
PF06733,4,DEAD_2
PF03060,4,Nitronate monooxygenase
PF01243,4,Pyridoxamine 5'-phosphate oxidase
PF01239,4,Protein prenyltransferase alpha subunit repeat
PF02535,4,ZIP Zinc transporter
PF00520,4,Ion transport protein
PF03199,4,Eukaryotic glutathione synthase
PF00534,4,Glycosyl transferases group 1
PF07738,4,Sad1 / UNC-like C-terminal
PF01138,4,"3' exoribonuclease family, domain 1"
PF08740,4,BCS1 N terminal
PF02170,4,PAZ domain
PF16488,4,Argonaute linker 2 domain
PF00890,4,FAD binding domain
PF16211,4,C-terminus of histone H2A
PF13378,4,Enolase C-terminal domain-like
PF01328,4,"Peroxidase, family 2"
PF01575,4,MaoC like domain
PF03167,4,Uracil DNA glycosylase superfamily
PF00133,4,"tRNA synthetases class I (I, L, M and V)"
PF04116,4,Fatty acid hydroxylase
PF07367,4,Fungal fruit body lectin
PF00339,4,"Arrestin (or S-antigen), N-terminal domain"
PF05730,4,CFEM domain
PF03795,4,YCII-related domain
PF10300,3,Iml2/Tetratricopeptide repeat protein 39
PF04117,3,Mpv17 / PMP22 family
PF04145,3,Ctr copper transporter family
PF09729,3,Gti1/Pac2 family
PF07774,3,"ER membrane protein complex subunit 1, C-terminal"
PF02076,3,Pheromone A receptor
PF20255,3,Family of unknown function (DUF6606)
PF04157,3,EAP30/Vps36 family
PF12906,3,RING-variant domain
PF14791,3,DNA polymerase beta thumb
PF10391,3,Fingers domain of DNA polymerase lambda
PF14792,3,DNA polymerase beta palm
PF03556,3,Cullin binding
PF07646,3,Kelch motif
PF08324,3,PUL domain
PF00562,3,"RNA polymerase Rpb2, domain 6"
PF04560,3,"RNA polymerase Rpb2, domain 7"
PF04561,3,"RNA polymerase Rpb2, domain 2"
PF04563,3,RNA polymerase beta subunit
PF04565,3,"RNA polymerase Rpb2, domain 3"
PF01253,3,Translation initiation factor SUI1
PF08653,3,DASH complex subunit Dam1
PF04909,3,Amidohydrolase
PF01722,3,BolA-like protein
PF07969,3,Amidohydrolase family
PF01909,3,Nucleotidyltransferase domain
PF00044,3,"Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain"
PF02800,3,"Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain"
